model,alpha,coef_1,coef_2,mse
Linear,0.0,3.3488571312736832,-0.12276776685267857,1.121389943652818
Ridge,0.001,3.345005698759351,-0.11890191981204883,1.1213900770800218
Lasso,0.001,3.226623394134275,-0.0,1.1215243487805477
Ridge,0.0018329807108324356,3.3418105979597557,-0.11569492915414109,1.1213903902855344
Lasso,0.0018329807108324356,3.2256032372833707,0.0,1.1215272388652286
Ridge,0.003359818286283781,3.3359846483143847,-0.10984746004760071,1.1213914341242661
Lasso,0.003359818286283781,3.2237333094536393,0.0,1.1215369490245872
Ridge,0.006158482110660267,3.3254074632503476,-0.09923174171380422,1.1213948898513864
Lasso,0.006158482110660267,3.2203057678110936,0.0,1.121569573395564
Ridge,0.011288378916846888,3.3063542260339505,-0.08011087289837969,1.121406192928999
Lasso,0.011288378916846888,3.2140231500947314,0.0,1.1216791853537504
Ridge,0.02069138081114789,3.272512345842526,-0.046154727800148995,1.121442370502435
Lasso,0.02069138081114789,3.202507233007105,0.0,1.1220474616152603
Ridge,0.0379269019073225,3.213879045733685,0.012657558430657563,1.1215538216569143
Lasso,0.0379269019073225,3.1813987791179406,0.0,1.1232848029330849
Ridge,0.06951927961775606,3.1165355121063167,0.11023839190642938,1.1218754331772045
Lasso,0.06951927961775606,3.1427073903036065,0.0,1.1274420449190874
Ridge,0.12742749857031335,2.9658178132878406,0.26114285241292623,1.1227097985860672
Lasso,0.12742749857031335,3.071786820931614,0.0,1.1414096225641648
Ridge,0.23357214690901212,2.7558941122384195,0.4708153181869934,1.1245540877970241
Lasso,0.23357214690901212,2.941790785271498,0.0,1.1883381453511843
Ridge,0.42813323987193913,2.5026590105952526,0.7224158333532165,1.1278426451265617
Lasso,0.42813323987193913,2.7035105594218205,0.0,1.3460094543592975
Ridge,0.7847599703514607,2.2446057988548276,0.9756462125390087,1.1324310887834406
Lasso,0.7847599703514607,2.2667475016665652,0.0,1.8757564015870576
Ridge,1.438449888287663,2.021596413630375,1.1876516100272674,1.1375993150699797
Lasso,1.438449888287663,1.4661692415969871,0.0,3.6556098819859
Ridge,2.636650898730358,1.8512907045534248,1.3359148723954792,1.1431094865612972
Lasso,2.636650898730358,0.0,0.0,9.62887061447802
Ridge,4.832930238571752,1.7263701634789324,1.419632708686915,1.1509370740470641
Lasso,4.832930238571752,0.0,0.0,9.62887061447802
Ridge,8.858667904100823,1.6259759433116423,1.4461832848948661,1.168551062434933
Lasso,8.858667904100823,0.0,0.0,9.62887061447802
Ridge,16.23776739188721,1.525316395162039,1.4195355466634483,1.2175373699381058
Lasso,16.23776739188721,0.0,0.0,9.62887061447802
Ridge,29.763514416313193,1.40002470292129,1.3366407753039249,1.352863347869052
Lasso,29.763514416313193,0.0,0.0,9.62887061447802
Ridge,54.555947811685144,1.2307574701416966,1.1918336351081538,1.688815889097267
Lasso,54.555947811685144,0.0,0.0,9.62887061447802
Ridge,100.0,1.0129111528883514,0.9885802433419666,2.3888389913481785
Lasso,100.0,0.0,0.0,9.62887061447802
